frequency	grapheme
0.0023148148	ħː
0.0023148148	kʷː
0.0023148148	iɛ
0.0023148148	pfʰ
0.0023148148	kxʰ
0.0023148148	ø̞
0.0023148148	ɜ̃
0.0023148148	aˤ
0.0023148148	ɮ̪
0.0023148148	t̪ɬ̪ʰ
0.0023148148	mbʲ
0.0023148148	kǀ͓
0.0023148148	ŋǀ͓
0.0023148148	d̪ɮ̪
0.0023148148	o̞u
0.0023148148	ŋ̰
0.0023148148	kpʷ
0.0023148148	ndr
0.0023148148	n̠ʃ
0.0023148148	↓
0.0023148148	ɲʒ
0.0023148148	˦˨˦
0.0023148148	˨˦˨
0.0023148148	ŋmkp
0.0023148148	dzʷ
0.0023148148	d̠ʒʰ
0.0023148148	d̃
0.0023148148	b̃
0.0023148148	oa
0.0023148148	ao
0.0023148148	eu
0.0023148148	o̤ː
0.0023148148	ɖʰ
0.0023148148	e̝
0.0023148148	e̤ː
0.0023148148	ŋǁ
0.0023148148	kǁʰ
0.0023148148	ŋǀ
0.0023148148	ɲ̤
0.0023148148	eˑ
0.0018518519	ɵ̞ː
0.0018518519	k̟
0.0018518519	d̻
0.0018518519	t̻ʰ
0.0018518519	z̻
0.0018518519	ɬʲ
0.0018518519	r̠
0.0018518519	ˀɲ
0.0018518519	ɪ̈
0.0018518519	ə˞
0.0018518519	ɴ
0.0018518519	t̪θʰ
0.0018518519	ʔˤ
0.0018518519	xʼ
0.0018518519	ɯ̃ː
0.0018518519	ɤ̞̃
0.0018518519	t̠ʃ͉
0.0018518519	kʰː
0.0018518519	t̠ʃʰː
0.0018518519	tsʼː
0.0018518519	ʰp
0.0018518519	n̠ʒ
0.0018518519	t̠ʃʲʰ
0.0018518519	dˤː
0.0018518519	zˤː
0.0018518519	sˤː
0.0018518519	tˤː
0.0018518519	ɟʝʷ
0.0018518519	kǂ
0.0018518519	ɐ̃
0.0018518519	tʲʰ
0.0018518519	ɽ̃
0.0018518519	ɾ̤
0.0018518519	dɮ
0.0018518519	n̠d̠
0.0018518519	uˤ
0.0018518519	t̪ˤ
0.0018518519	kpʰ
0.0018518519	ɨ̞
0.0018518519	ɛi
0.0018518519	ao̞
0.0018518519	aɛ
0.0018518519	ɤ̤
0.0018518519	t̪s̪ʲ
0.0018518519	mpʰ
0.0018518519	kǁ͓
0.0018518519	kǃ̠
0.0018518519	v̤
0.0018518519	ae̞
0.0018518519	d̪̰
0.0018518519	ɲ̰
0.0018518519	ɻʲ
0.0018518519	βʷ
0.0018518519	ɟʷ
0.0018518519	ue
0.0018518519	ɽʰ
0.0018518519	ɠɓ
0.0018518519	ʊ̤
0.0018518519	k̰ʷ
0.0018518519	ae
0.0018518519	ɑ̤
0.0018518519	ɡ̰
0.0018518519	ṵ̃
0.0018518519	aɪ
0.0018518519	ʈʼ
0.0018518519	ʰm
0.0018518519	õ̰
0.0018518519	ð̞
0.0018518519	kpʲ
0.0018518519	ps
0.0018518519	ɥ̃
0.0018518519	ɾʷ
0.0018518519	kǀʼ
0.0018518519	ɡǁ
0.0018518519	cçʼ
0.0018518519	β̃
0.0018518519	w̤
0.0018518519	ë
0.0013888889	tˀ
0.0013888889	tsʷʰ
0.0013888889	fʼ
0.0013888889	d̻z̻
0.0013888889	qχʷ
0.0013888889	ɮʲ
0.0013888889	õ̞ː
0.0013888889	ẽ̞ː
0.0013888889	ˀd
0.0013888889	a˞
0.0013888889	ɛ̆
0.0013888889	l̩
0.0013888889	r̩
0.0013888889	tːs
0.0013888889	ɪ̃ː
0.0013888889	ɬʼ
0.0013888889	ɨ˞
0.0013888889	ʰt̠ʃ
0.0013888889	ʌ̃ː
0.0013888889	rˤ
0.0013888889	çʷ
0.0013888889	ɡ̤ʷ
0.0013888889	d̪ð
0.0013888889	e̯
0.0013888889	mʷˠ
0.0013888889	ɡ̟
0.0013888889	ø̞ː
0.0013888889	œ̃
0.0013888889	ʁ̞
0.0013888889	ɨ̆
0.0013888889	ɵ̞̆
0.0013888889	ɔ̆
0.0013888889	cçʷ
0.0013888889	s̪ʷ
0.0013888889	iˤ
0.0013888889	ɬ̪ː
0.0013888889	o̞ˤ
0.0013888889	t̪s̪ʷʰ
0.0013888889	t̪s̪ʷʼ
0.0013888889	z̪ˤ
0.0013888889	s̪ˤ
0.0013888889	d̪ˤ
0.0013888889	t̪s̪ː
0.0013888889	ʕ̝
0.0013888889	z̪ʲ
0.0013888889	t̪ˀ
0.0013888889	cɕʰ
0.0013888889	ɲc
0.0013888889	ɴq
0.0013888889	ŋkʰ
0.0013888889	aɯ
0.0013888889	ɺ̪
0.0013888889	e̞u
0.0013888889	l̪̤
0.0013888889	ŋǃ̠
0.0013888889	ŋ̥ǀ͓ˀ
0.0013888889	kǀ͓ʰ
0.0013888889	ŋǁ͓
0.0013888889	t̪ʷ
0.0013888889	ɳʈ
0.0013888889	xʲ
0.0013888889	e̞o̞
0.0013888889	ɯi
0.0013888889	s̪ʰ
0.0013888889	ɡǃx
0.0013888889	ɡǂ
0.0013888889	kǃx
0.0013888889	ŋ̥ǃ
0.0013888889	ɡ̤ǃ
0.0013888889	æi
0.0013888889	n̪d̪z̪
0.0013888889	ɟ̰
0.0013888889	r̪ʲ
0.0013888889	*R̪̰
0.0013888889	iˠ
0.0013888889	nsʷ
0.0013888889	ntʷ
0.0013888889	˦↓˦
0.0013888889	ndʑ
0.0013888889	ʄ̥
0.0013888889	ɻʷ
0.0013888889	kʰʷ
0.0013888889	ö
0.0013888889	tʲʼ
0.0013888889	iaː
0.0013888889	ʕʷ
0.0013888889	lʼ
0.0013888889	ŋɣ
0.0013888889	nɡ
0.0013888889	cʲ
0.0013888889	ɟʲ
0.0013888889	ja
0.0013888889	q̰ʷ
0.0013888889	oe
0.0013888889	s̺
0.0013888889	c̰
0.0013888889	˧˦˧
0.0013888889	o̝
0.0013888889	bz
0.0013888889	eo
0.0013888889	ɯ̰
0.0013888889	ə̰
0.0013888889	tç
0.0013888889	t̺
0.0013888889	ɡbʲ
0.0013888889	ɡᶣ
0.0013888889	ɖr
0.0013888889	ʈr
0.0013888889	kxʼ
0.0013888889	ɟ̤
0.0013888889	ɵː
0.0013888889	ᶑʼ
0.0013888889	cʼː
0.0013888889	nɗ
0.0013888889	kǁʼ
0.0013888889	kǃʼ
0.0013888889	ɗʲ
0.0013888889	i̞
0.0013888889	ɔ̝
0.0013888889	ï
0.0013888889	r̠ʲ
0.0013888889	t̪̰
0.0013888889	üː
0.0013888889	c̤
0.0013888889	d̤z
0.0013888889	ʰɾ
0.0013888889	ḛ̃
0.0009259259	ø̞ˤ
0.0009259259	t͈
0.0009259259	p͈
0.0009259259	k͈
0.0009259259	æˤ
0.0009259259	t̻s̻ʼ
0.0009259259	qχʷʼ
0.0009259259	qχʼ
0.0009259259	β̞ː
0.0009259259	ˀr
0.0009259259	ˀŋ
0.0009259259	˩̰
0.0009259259	˨˩
0.0009259259	˧˥
0.0009259259	˧˨˥
0.0009259259	b̤̥
0.0009259259	tz̤̥
0.0009259259	˥˧˥
0.0009259259	ɡ̤̥
0.0009259259	d̤̥
0.0009259259	z̞̩
0.0009259259	k̟ʰ
0.0009259259	˥̰
0.0009259259	ɾˀ
0.0009259259	ĕ
0.0009259259	ŋ̥ʲ
0.0009259259	ʂ͇
0.0009259259	ɲ̩
0.0009259259	ɡɣ
0.0009259259	ʎ̟
0.0009259259	ɸʷ
0.0009259259	ɬː
0.0009259259	s̻ː
0.0009259259	dl
0.0009259259	ʃ͈ː
0.0009259259	k͈ː
0.0009259259	s͈ː
0.0009259259	t͈ː
0.0009259259	ɤ̞ː
0.0009259259	ʊ̃ː
0.0009259259	ɸʼ
0.0009259259	ʰkʷ
0.0009259259	çʲ
0.0009259259	ɺʲ
0.0009259259	bˀ
0.0009259259	dˀ
0.0009259259	kˤ
0.0009259259	ɪ̈ː
0.0009259259	ʊ̈
0.0009259259	sʼː
0.0009259259	ʁː
0.0009259259	ħʷ
0.0009259259	l̪ː
0.0009259259	ɾˤ
0.0009259259	lˤː
0.0009259259	ʃ͉
0.0009259259	s͉
0.0009259259	uɔ
0.0009259259	b̤ʲ
0.0009259259	o̯
0.0009259259	l̥ˠ
0.0009259259	bʷˠ
0.0009259259	ɾˠ
0.0009259259	nˠ
0.0009259259	n̥ʲ
0.0009259259	n̥ˠ
0.0009259259	ɸʷˠ
0.0009259259	pʷˠʰ
0.0009259259	l̥ʲ
0.0009259259	ə̯
0.0009259259	ɾ̥ʲ
0.0009259259	ɾ̥ˠ
0.0009259259	ʃˠ
0.0009259259	ʒˠ
0.0009259259	ʒʲ
0.0009259259	ʈʰː
0.0009259259	pʰː
0.0009259259	n̪ː
0.0009259259	t̪ʰː
0.0009259259	ɟʝː
0.0009259259	cçː
0.0009259259	ĕ̞
0.0009259259	ɒ̆
0.0009259259	ŏ̞
0.0009259259	z͇
0.0009259259	ʊ̙
0.0009259259	ʊ̙ː
0.0009259259	ɪ̙
0.0009259259	ɔˤ
0.0009259259	ɪˤ
0.0009259259	ʊˤ
0.0009259259	ɹ̪
0.0009259259	ʃʷː
0.0009259259	ʁʷˤ
0.0009259259	qχʼː
0.0009259259	t̪s̪ʼː
0.0009259259	χʷˤ
0.0009259259	χʷː
0.0009259259	χˤ
0.0009259259	ʁˤ
0.0009259259	ɤ̟
0.0009259259	ɯ͓
0.0009259259	ɞ
0.0009259259	ʌ̤
0.0009259259	ɒ̤
0.0009259259	ɘ̃
0.0009259259	z͇̪
0.0009259259	n̠̥
0.0009259259	ỹ
0.0009259259	ɬ̪ʲ
0.0009259259	n̪t̪ʰ
0.0009259259	n̪t̪s̪
0.0009259259	ɳʈʂ
0.0009259259	ŋ̥ʷ
0.0009259259	nr
0.0009259259	aɨ
0.0009259259	kǃ̠ʰ
0.0009259259	ŋ̥ǁ͓ˀ
0.0009259259	ŋ̥ǃ̠ˀ
0.0009259259	kǁ͓ʰ
0.0009259259	ɭ̥
0.0009259259	ɡbʷ
0.0009259259	ɔ̃ĩ
0.0009259259	ŋkʲ
0.0009259259	t̪ɦ
0.0009259259	pɦ
0.0009259259	kɦ
0.0009259259	ɣʲ
0.0009259259	ʊi
0.0009259259	e̠
0.0009259259	õ̞ĩ
0.0009259259	ũĩ
0.0009259259	ɨa
0.0009259259	ɜː
0.0009259259	ɟʑ
0.0009259259	aˤː
0.0009259259	ɡʼ
0.0009259259	ãˤ
0.0009259259	ɡǀ͓
0.0009259259	dʼ
0.0009259259	tˠ
0.0009259259	dˠ
0.0009259259	ɡǂx
0.0009259259	d̠ʒʼ
0.0009259259	o̞a
0.0009259259	kǂʰ
0.0009259259	ŋ̤ǃ
0.0009259259	dz̤
0.0009259259	ẽ̞ĩ
0.0009259259	ŋ̥ǀ͓ʰ
0.0009259259	ŋǂ
0.0009259259	ŋ̥ǃˀ
0.0009259259	kǂx
0.0009259259	b̪
0.0009259259	ts͇
0.0009259259	ɲɟʑ
0.0009259259	n̪ʷ
0.0009259259	ɨə
0.0009259259	ŋ̤
0.0009259259	kʷˀ
0.0009259259	ɰ̰
0.0009259259	ɬ̪ʼ
0.0009259259	ɓʲ
0.0009259259	uʌ
0.0009259259	n̪z̪
0.0009259259	ðʲ
0.0009259259	nzʷ
0.0009259259	n̠d̠ʒʷ
0.0009259259	˨˦˧
0.0009259259	ɡv
0.0009259259	kf
0.0009259259	ɠ̥
0.0009259259	ɗʒ
0.0009259259	eˠ
0.0009259259	nh
0.0009259259	nl
0.0009259259	r̝
0.0009259259	˨˥˩
0.0009259259	dʲʷ
0.0009259259	tʰʷ
0.0009259259	cʷʰ
0.0009259259	uaː
0.0009259259	mʼ
0.0009259259	nʼ
0.0009259259	wʰ
0.0009259259	ɾʰ
0.0009259259	ɗʰ
0.0009259259	ˀp
