id	rule	source	target	weight	test
182	f -> w / _ V	f V	w @2	1	a m u f a u / a m u w a u
183	f -> ʋ / # _	# f	# ʋ	1	f t a j f / ʋ t a j f
184	g -> h / V _ V	V g V	@1 h @3	1	b a w o g aː j / b a w o h aː j
185	g -> :null: / _ h	g h	h	1	m a g h i / m a h i
186	g -> j / E _	E g	@1 j	1	a g r o ŋ g / a j r o ŋ g
187	g -> j / V _ r	V g r	@1 j r	1	a g r o ŋ g / a j r o ŋ g
188	g -> k / # _	# g	# k	1	g e g s i s k / k e g s i s k
189	g -> k / ŋ _ #	ŋ g #	ŋ k #	1	a g r o ŋ g / a g r o ŋ k
190	g -> m / _ n	g n	m n	1	m a g n o g / m a m n o g
191	g -> w / V _	V g	@1 w	1	a g r o ŋ g / a w r o ŋ g
192	g -> x / _ #	g #	x #	1	a g r o ŋ g / a g r o ŋ x
193	g -> ɣ / V _ #	V g #	@1 ɣ #	1	m a g n o g / m a g n o ɣ
194	g -> ʒ / # _ i|e	# g i|e	# ʒ @3	1	g e g s i s k / ʒ e g s i s k
195	h -> g / _ B	h B	g @2	1	h w a h u / h w a g u
196	h -> j / _ E	h E	j @2	2	a i a tʃ i h e / a i a tʃ i j e
197	h -> k / # _ v|w	# h v|w	# k @3	1	h w a h u / k w a h u
198	h -> k / E _ E	E h E	@1 k @3	1	a i a tʃ i h e / a i a tʃ i k e
199	h -> q / _ #	h #	q #	2	i h e m a h / i h e m a q
200	h -> q / _ E	h E	q @2	1	a i a tʃ i h e / a i a tʃ i q e
201	h -> w / # _	# h	# w	5	h a z h ã / w a z h ã
202	h -> w / _ o|u	h o|u	w @2	1	h w a h u / h w a w u
203	h -> x / _ i	h i	x i	1	m a g h i / m a g x i
204	h -> x / _ p|k	h p|k	x @2	1	m i h p i / m i x p i
205	h -> :null: / # _	# h	#	4	h a z h ã / a z h ã
206	h -> :null: / V _	V h	@1	3	a h s r i r / a s r i r
207	h -> :null: / V _ C	V h C	@1 @3	3	a h s r i r / a s r i r
208	h -> :null: / V _ V	V h V	@1 @3	4	a i a tʃ i h e / a i a tʃ i e
209	h -> :null: / V _ ts V	V h ts V	@1 ts @4	1	r a h ts i v m l e / r a ts i v m l e
210	h -> :null: / V[+long] _ #	V[+long] h #	@1 #	2	k a m n ɔː h / k a m n ɔː
211	h -> :null: / _ #	h #	#	7	i h e m a h / i h e m a
212	h -> :null: / _ V|w|j	h V|w|j	@2	1	a i a tʃ i h e / a i a tʃ i e
213	h -> :null: / _ k|t|ts|s	h k|t|ts|s	@2	1	a h s r i r / a s r i r
214	h -> :null: / _ l|n|r	h l|n|r	@2	1	v i h r w a / v i r w a
215	h -> :null: / _ n|s|ʔ	h n|s|ʔ	@2	1	a h s r i r / a s r i r
216	h -> :null: / _ s|x	h s|x	@2	1	a h s r i r / a s r i r
217	h -> :null: / _ s k|t	h s k|t	s @3	1	v i h s k w a / v i s k w a
218	h -> ħ / _ V s|z	h V s|z	ħ @2 @3	1	h a z h ã / ħ a z h ã
219	h -> ʔ / # _	# h	# ʔ	1	h a z h ã / ʔ a z h ã
220	h -> ʔ / V _ V	V h V	@1 ʔ @3	1	a i a tʃ i h e / a i a tʃ i ʔ e
221	h -> ʔ / _ #	h #	ʔ #	1	i h e m a h / i h e m a ʔ
222	h -> ʔ / _ s|ʃ	h s|ʃ	ʔ @2	1	a h s r i r / a ʔ s r i r
223	h -> ʔ / _ ã	h ã	ʔ ã	1	h a z h ã / h a z ʔ ã
224	h -> ʔ / a _ i|u	a h i|u	a ʔ @3	1	h w a h u / h w a ʔ u
225	h e -> ə / _ #	h e #	ə #	1	a i a tʃ i h e / a i a tʃ i ə
226	i -> a / _ C a	i C a	a @2 a	1	i ʎ a ʁ i ʃ o ʃ / a ʎ a ʁ i ʃ o ʃ
227	i -> a / _ t	i t	a t	1	s k i t r a t n i / s k a t r a t n i
228	i -> e / _ C+e|e	i (C e)|e	e @2	1	a b ts a r i m b s u / a b ts a r e m b s u
229	e -> i / _ C	e C	i @2	1	a k e l e j a p a / a k i l e j a p a
230	i -> e / _ k #	i k #	e k #	1	w i t i k / w i t e k
231	i -> e / _ m	i m	e m	2	a b ts a r i m b s u / a b ts a r e m b s u
232	i -> e / _ s	i s	e s	1	a s p t i s / a s p t e s
233	i -> e / tʃ _	tʃ i	tʃ e	1	a i a tʃ i h e / a i a tʃ e h e
234	i -> eː / _ #	i #	eː #	1	a t k a t ʔ i / a t k a t ʔ eː
235	i -> i ə / _ m 	i m	i ə m	1	a b ts a r i m b s u / a b ts a r i ə m b s u
236	i -> i ə / _ ŋ #	i ŋ #	i ə ŋ #	1	l a m b r i ŋ / l a m b r i ə ŋ
237	i -> i ɛ / _ s	i s	i ɛ s	1	a s p t i s / a s p t i ɛ s
238	i -> j / V _ #	V i #	@1 j #	1	i k u l o i / i k u l o j
239	i -> j / V _ V	V i V	@1 j @3	1	a i a tʃ i h e / a j a tʃ i h e
240	i -> j / _ V	i V	j @2	1	a i a tʃ i h e / a j a tʃ i h e
241	i -> o / _ m	i m	o m	1	a b ts a r i m b s u / a b ts a r o m b s u
242	i -> o / u|w _	u|w i	@1 o	1	i b n a i w i / i b n a i w o
243	i -> u / _ C u	i C u	u @2 u	1	i j u x i / u j u x i
244	i -> u / _ j u	i j u	u j u	1	i j u x i / u j u x i
245	i -> u / u C _	u C i	u @2 u	1	i j u x i / i j u x u
246	i -> :null: / _ #	i #	#	2	a t k a t ʔ i / a t k a t ʔ
247	i -> :null: / a _	a i	a	3	a i a tʃ i h e / a a tʃ i h e
248	i -> :null: / ts _ #	ts i #	ts #	1	j u t j a ts i / j u t j a ts
249	i -> ĩ / ʔ _ #	ʔ i #	ʔ ĩ #	1	a t k a t ʔ i / a t k a t ʔ ĩ
250	i -> ɐ / _ m	i m	ɐ m	1	a b ts a r i m b s u / a b ts a r ɐ m b s u
251	i -> ə / _ #	i #	ə #	1	a t k a t ʔ i / a t k a t ʔ ə
252	i -> ə / o C _	o C i	o @2 ə	1	i u l o x i ʔ i / i u l o x ə ʔ i
253	i -> ɪ / _ C C	i C C	ɪ @2 @3	1	a b ts a r i m b s u / a b ts a r ɪ m b s u
254	j -> :null: / i _ #	i j #	i #	1	j e j o v i j / j e j o v i
255	i -> j / # _ u	# i u	# j u	1	i u l o x i ʔ i / j u l o x i ʔ i
256	i w -> o / _ #	i w #	o #	2	l a i l i w / l a i l o
257	i w -> u j / _ #	i w #	u j #	1	l a i l i w / l a i l u j
258	iː -> i / k|s _ k|s #	k|s iː k|s #	@1 i @3 #	1	j a j ã s iː k / j a j ã s i k
259	j -> d / # _	# j	# d	3	j a j ã s iː k / d a j ã s iː k
260	j -> d / _ #	j #	d #	1	b a w o g aː j / b a w o g aː d
261	j -> g / # _	# j	# g	1	j a j ã s iː k / g a j ã s iː k
262	j -> g / _ #	j #	g #	2	b a w o g aː j / b a w o g aː g
263	j -> i / C _	C j	@1 i	3	a d j aː d / a d i aː d
264	j -> :null: / C _ V #	C j V #	@1 @3 #	1	i k ʔ e r j a / i k ʔ e r a
265	j -> r / V _ V	V j V	@1 r @3	1	a k e l e j a p a / a k e l e r a p a
266	j -> s / # _	# j	# s	1	j a j ã s iː k / s a j ã s iː k
267	t j -> ts 	t j	t s	1	j u t j a ts i / j u ts a ts i
268	j -> t / _ #	j #	t #	1	b a w o g aː j / b a w o g aː t
269	j -> w / _ o	j o	w o	6	j e j o v i j / j e w o v i j
270	j -> :null: / # _	# j	#	1	j a j ã s iː k / a j ã s iː k
271	j -> :null: / # _ V	# j V	# @3	1	j a j ã s iː k / a j ã s iː k
272	j -> :null: / # _ e	# j e	# e	1	j e j o v i j / e j o v i j
273	j -> :null: / # _ u	# j u	# u	1	j u t j a ts i / u t j a ts i
274	j -> :null: / E _	E j	@1	1	a k e l e j a p a / a k e l e a p a
275	j -> :null: / V _ V	V j V	@1 @3	1	a k e l e j a p a / a k e l e a p a
276	j -> :null: / V _ u	V j u	@1 u	1	i j u x i / i u x i
277	j -> :null: / V _ V|#	V j V|#	@1 @3	1	a k e l e j a p a / a k e l e a p a
278	j -> ð / V _	V j	@1 ð	1	a k e l e j a p a / a k e l e ð a p a
279	j -> ð / V _ V	V j V	@1 ð @3	1	a k e l e j a p a / a k e l e ð a p a
